오토_프랑크	안네_프랑크	child	에디트 프랑크는 《안네의 일기》의 저자  << _obj_ >> 와 언니 마르고트 프랑크의 어머니인 유대계 독일인 여성으로,  << _sbj_ >> 의 아내이다.
스트랫퍼드_(런던)	영국	country	배스킷볼 아레나는  << _obj_ >>  런던  << _sbj_ >>  퀸 엘리자베스 올림픽 공원 내에 있는 농구 경기 시설이다.
모스크바	러시아	country	 예를 들어서 미국에 있는 하와이, 뉴욕, 플로리다 뿐만 아니라 일본,  << _obj_ >> 의 수도인  << _sbj_ >> , 독일, 이탈리아, 멕시코, 프랑스, 케냐, 오스트레일리아, 영국, 중국 등 14가지 코스를 제공한다.
LG전자	대한민국	country	LG 뷰3 는  << _sbj_ >> 에서 2013년 9월 27일  << _obj_ >> 에서 출시한 안드로이드  스마트폰이다.
콜로라도_주	미국	country	덴버 너기츠는  << _obj_ >>   << _sbj_ >>  덴버를 연고지로 하는 1948년부터 1950년까지 내셔널 바스켓볼 리그 /전미 농구 협회 서부 디비전 소속되었던 프로농구 팀이다.
볼티모어	미국	country	볼티모어 불리츠는  << _obj_ >>  메릴랜드 주  << _sbj_ >> 를 연고지로 하는 1948년부터 1954년까지 전미 농구 협회 동부 디비전 소속되었던 프로농구 팀이다.
말레	몰디브	country	메가 몰디브는  << _obj_ >> 의 항공사로 2010년 설립되어  << _sbj_ >> 에 본사를 두고 있으며 말레 국제공항을 거점으로 운항하고 있다.
영천시	대한민국	country	칠백로는  << _obj_ >> 의 경상북도  << _sbj_ >>  대창면에서 시작하여, 남부동을 거쳐 도동삼거리까지 연결하는 도로이다.
빅토리아_주	오스트레일리아	country	동부막대무늬반디쿠트는  << _obj_ >>  남동부의 태즈메이니아 주와  << _sbj_ >> 에 서식하는 토끼 크기의 작은 유대류의 일종이다.
셰틀랜드_제도	스코틀랜드	country	투표 결과  << _obj_ >>  최북단 지역인  << _sbj_ >> 와 아우터헤브리디스를 제외하고 모든 지역에서 영국이 유럽공동체 존속에 '찬성'으로 돌아서기로 한 것으로 드러났다.
중구_(울산광역시)	대한민국	country	화합로는  << _obj_ >> 의 울산광역시 남구  여천동에서 시작하여,  << _sbj_ >>  복산동을 거쳐 연결하는 도로이다.
왕과_비	김종선_(연출자)	director	 그러나 수뢰 혐의로 연출에서 손을 떼자 KBS는  << _sbj_ >> 를 2000년 3월까지 연장하고 이 과정에서 왕과 비는 담당 PD  << _obj_ >> 이 <태조 왕건> 연출자로 발령되어 하차하는 대신 윤용훈-윤창범 공동연출로 변경됐다.
텍사스_주	미국	country	스푼은  << _obj_ >>   << _sbj_ >>  오스틴  출신 인디 록 밴드이다.
조비	조예	child	  << _sbj_ >> 의 손자이고,  << _obj_ >> 의 이복 동생인 동해정왕 조림 의 아들이며, 자 는 언사이다.
조비	조예	child	 삼국시대 위 는 조조,  << _sbj_ >> ,  << _obj_ >> 의 3대가 나란히 조의 묘호를 올렸으며, 남북조 시대와 오대 십국 시대의 국가들도 조를 올린 군주가 2명 이상인 국가가 많다.
조비	조예	child	  << _sbj_ >> 가 즉위한 후인 황초 연간에 당양장을 지내고 당시 평원왕의 봉작에 있던 명제  << _obj_ >> 의 부를 맡았다.
조비	조예	child	 실제로 유선이 촉의 황제로 재위하던 동안 위는  << _sbj_ >> ,  << _obj_ >> , 조방, 조모, 조환 등으로, 오는 손권, 손량, 손휴,손호 등으로 황제가 바뀌었다.
조비	조예	child	그러나 하안의 거리낌없고 추시부세적인 성정 때문에  << _sbj_ >> 와  << _obj_ >> 는 그를 중용하지 않았다.
조비	조예	successor	  << _sbj_ >> 의 손자이고,  << _obj_ >> 의 이복 동생인 동해정왕 조림 의 아들이며, 자 는 언사이다.
조비	조예	successor	 삼국시대 위 는 조조,  << _sbj_ >> ,  << _obj_ >> 의 3대가 나란히 조의 묘호를 올렸으며, 남북조 시대와 오대 십국 시대의 국가들도 조를 올린 군주가 2명 이상인 국가가 많다.
조비	조예	successor	  << _sbj_ >> 가 즉위한 후인 황초 연간에 당양장을 지내고 당시 평원왕의 봉작에 있던 명제  << _obj_ >> 의 부를 맡았다.
조비	조예	successor	 실제로 유선이 촉의 황제로 재위하던 동안 위는  << _sbj_ >> ,  << _obj_ >> , 조방, 조모, 조환 등으로, 오는 손권, 손량, 손휴,손호 등으로 황제가 바뀌었다.
조비	조예	successor	그러나 하안의 거리낌없고 추시부세적인 성정 때문에  << _sbj_ >> 와  << _obj_ >> 는 그를 중용하지 않았다.
손권	손량	child	부친 제갈근과 승상 육손 사후 병권을 잡아 대장군 벼슬을 받고  << _sbj_ >> 이 그의 막내아들  << _obj_ >> 을 태자로 삼자 태자태부로 삼아 후견인으로 삼았다.
손권	손량	child	  << _sbj_ >> 이 우연히 보고 후궁으로 들였으며, 회임하여 징조가 있는 꿈을 꾸고 손권의 막내아들  << _obj_ >> 을 낳았다.
손권	손량	child	 실제로 유선이 촉의 황제로 재위하던 동안 위는 조비, 조예, 조방, 조모, 조환 등으로, 오는  << _sbj_ >> ,  << _obj_ >> , 손휴,손호 등으로 황제가 바뀌었다.
손권	손량	child	어린 시절 전종의 부인이자  << _sbj_ >> 의 딸인 손노반의 총애를 받았고, 손대호는 전씨가 손권의 막내 아들인  << _obj_ >> 의 부인이 되도록 했다.
손권	손량	child	  << _sbj_ >> 은 죽을 때, 제갈각을 태자태부·대장군에 임명하여 어린  << _obj_ >> 을 보좌하게 했다.
손권	손량	successor	부친 제갈근과 승상 육손 사후 병권을 잡아 대장군 벼슬을 받고  << _sbj_ >> 이 그의 막내아들  << _obj_ >> 을 태자로 삼자 태자태부로 삼아 후견인으로 삼았다.
손권	손량	successor	  << _sbj_ >> 이 우연히 보고 후궁으로 들였으며, 회임하여 징조가 있는 꿈을 꾸고 손권의 막내아들  << _obj_ >> 을 낳았다.
손권	손량	successor	 실제로 유선이 촉의 황제로 재위하던 동안 위는 조비, 조예, 조방, 조모, 조환 등으로, 오는  << _sbj_ >> ,  << _obj_ >> , 손휴,손호 등으로 황제가 바뀌었다.
손권	손량	successor	어린 시절 전종의 부인이자  << _sbj_ >> 의 딸인 손노반의 총애를 받았고, 손대호는 전씨가 손권의 막내 아들인  << _obj_ >> 의 부인이 되도록 했다.
손권	손량	successor	  << _sbj_ >> 은 죽을 때, 제갈각을 태자태부·대장군에 임명하여 어린  << _obj_ >> 을 보좌하게 했다.
코나미	일본	country	팝픈뮤직은  << _obj_ >> 의  << _sbj_ >> 사에서 제작한 음악 게임으로, 비마니 시리즈 제2탄이다.
방콕	타이	country	짐 톰프슨의 집은  << _obj_ >>   << _sbj_ >> 에 있는 박물관이다.
수마트라_섬	인도네시아	country	펜단 산은  << _obj_ >>   << _sbj_ >> 에 있는 화산이다.
김일성	김정일	child	저널리스트 브래들리 마틴은 북한의  << _sbj_ >> 과  << _obj_ >> 이 행한 개인 숭배를 보도했다.
필리프_람	FC_바이에른_뮌헨	team	 카르바할은 분데스리가에서의 푸스발-분데스리가 2012-13에  << _obj_ >> 의  << _sbj_ >> 과 FC 샬케 04의 우치다 아쓰토의 뒤를 이어 최고의 우측 수비수 3명중 한명으로 선정되었다.
FIFA_클럽_월드컵_2014_결승전	CA_산로렌소	team	카르바할의 레알 마드리드는 같은 라 리가 소속의 세비야 FC와의 UEFA 슈퍼컵 2014 경기에서도 승리의 주역이 되었고, FIFA 클럽 월드컵 2014 FIFA 클럽 월드컵  << _sbj_ >> 에서도 아르헨티나의  << _obj_ >> 를 이겼다.
K팝스타_3	박진영	starring	 같은 달 17일 《 << _sbj_ >> 》에서 참가자 권진아는 어쿠스틱으로 편곡해 선보였고 원곡자이자 심사위원  << _obj_ >> 은 "미친 것 같다"며 극찬했다.
